name;speicher;leistung;lat;long
Nürnberg;SENEC Home V3 hybrid -5.0 kWh;7.5;49.3715268;11.0785899
Rimsting;SENEC Home V3 hybrid -2.5 kWh;3;47.8795879;12.3377801
Hahnbach;SENEC Home V3 hybrid dou - 7.5 kWh;7.5;49.526685;11.8185218
Aurach;SENEC Home V3 hybrid -5.0 kWh;4.5;49.2464705;10.4153966
Leonberg;SENEC Home V3 hybrid -2.5 kWh;4.5;48.8011637;8.997988
Wurmannsquick;SENEC Home V3 hybrid -2.5 kWh;3.75;48.3524189;12.7870174
Eggenfelden;SENEC Home V3 hybrid dou - 7.5 kWh;6;48.403296;12.7469045
Weilheim an der Teck;SENEC Home V3 hybrid dou - 7.5 kWh;8.625;48.61452509999999;9.5529025
Breitbrunn am Chiemsee;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;47.8895151;12.3975442
Sulzbach-Rosenberg;SENEC Home V3 hybrid -5.0 kWh;4.5;49.4969642;11.7554254
Gräfenburg;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;49.6446609;11.2467331
Teublitz;SENEC Home V3 hybrid -2.5 kWh;3.75;49.220674;12.0848844
Essingen;SENEC Home V3 hybrid dou - 5.0 kWh;7.5;48.79648599999999;10.0311214
Oberasbach;SENEC Home V2.1 - 5.0 kWh;6;49.4325206;10.9711906
Langdorf;SENEC Home V3 hybrid dou - 10 kWh;18;49.0119283;13.1478318
Herrenberg;SENEC Home V3 hybrid dou - 5.0 kWh;9;48.5879291;8.879328
Treuchtlingen;SENEC Home V3 hybrid dou - 7.5 kWh;8.25;48.9516022;10.8937048
Burgoberbach;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;49.2369601;10.5923182
Gomaringen;SENEC Home V3 hybrid -5.0 kWh;6;48.4548729;9.097284799999999
Reutlingen;SENEC Home V3 hybrid -5.0 kWh;4.5;48.5373555;9.2004305
Litzendorf;SENEC Home V3 hybrid -7.5 kWh;7.5;49.9122463;11.0092999
Frauenneuharting;SENEC Home V3 hybrid -5.0 kWh;6;48.0385059;12.0474706
Böblingen;SENEC Home V3 hybrid dou - 10 kWh;16.5;48.82173909999999;9.916113099999999
Schwäbisch Gmünd;SENEC Home V2.1 - 7.5 kWh;9;48.8321222;9.8173747
Gerlingen;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;48.7908056;9.0651574
Brennberg;SENEC Home V3 hybrid -5.0 kWh;7.5;49.07210480000001;12.3952311
Wangen im Allgäu;SENEC Home V3 hybrid dou - 10 kWh;11.25;47.6894006;9.8206437
Breitengüßbach;SENEC Home V3 hybrid -5.0 kWh;6.75;49.9741688;10.9067044
Pfarrkirchen;SENEC Home V3 hybrid -2.5 kWh;3.75;48.4406719;12.9545287
Gaibach;SENEC Home V3 hybrid dou - 10 kWh;10.5;49.8896689;10.2259596
Deggendorf;SENEC Home V3 hybrid dou - 2.5 kWh;6;48.8456799;12.9779283
Ornban;SENEC Home V3 hybrid dou - 7.5 kWh;8.25;49.1768268;10.6568278
Nittenau;SENEC Home V3 hybrid dou - 10 kWh;19.875;49.1951228;12.2680695
Krailling;SENEC Home V3 hybrid dou - 5.0 kWh;6.375;48.1073175;11.3983182
Burladingen;SENEC Home V3 hybrid -2.5 kWh;3.75;48.2984526;9.1038503
Wendlingen;SENEC Home V3 hybrid dou - 5.0 kWh;7.875;48.6683805;9.390932399999999
Aaalen;SENEC Home V3 hybrid dou - 10 kWh;12;48.8708148;10.1100905
Metten;SENEC Home V3 hybrid dou - 5.0 kWh;6.75;48.8562416;12.9130877
Gaißach;SENEC Home V3 hybrid dou - 7.5 kWh;5.25;47.7473113;11.5800801
Kirchheim;SENEC Home V3 hybrid dou - 7.5 kWh;9;48.6425125;9.459418399999999
Neukirchen;SENEC Home V3 hybrid dou - 5.0 kWh;6;49.2536704;13.0014291
Bischofswiesen;SENEC Home V3 hybrid -5.0 kWh;4.875;47.6506828;12.964987
Gaißach;SENEC Home V3 hybrid -2.5 kWh;3;47.7473113;11.5800801
Metten;SENEC Home V3 hybrid -5.0 kWh;5.625;48.8562416;12.9130877
Rott;SENEC Home V3 hybrid -5.0 kWh;6;47.9057527;10.970934
Puchersreuth;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;49.7703633;12.2082106
Möckmühl;SENEC Home V3 hybrid -5.0 kWh;4.875;49.32297070000001;9.349579
Übersee;SENEC Home V3 hybrid dou - 10 kWh;15.75;47.8218148;12.4830975
Holzkirchen;SENEC Home V3 hybrid -5.0 kWh;4.5;47.8720967;11.6886436
Rimbach;SENEC Home V3 hybrid dou - 10 kWh;9.75;49.2307235;12.8861304
Tamm;Fenecon 5.1 kWh;5.25;48.9184019;9.1192232
Reischach;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;48.2919886;12.7259351
Lantertal;SENEC Home V3 hybrid dou - 10 kWh;13.5;50.3431161;10.9687005
Obertaufkirchen;SENEC Home V3 hybrid dou - 5.0 kWh;7.5;48.2609347;12.2799026
Feldkirchen;SENEC Home V3 hybrid dou - 10 kWh;10.875;47.9098689;11.8440007
Abtsgmünd;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;48.8910782;10.001692
Puchheim;RCT POWER BATTERY DC 11.5;10.5;48.16322570000001;11.3421615
Aidlingen;SENEC Home V3 hybrid dou - 5.0 kWh;6.75;48.6884647;8.8855667
Hattenhofen;SENEC Home V3 hybrid dou - 5.0 kWh;8.25;48.6691464;9.565006499999999
Pfaffing;SENEC Home V3 hybrid -5.0 kWh;5.25;48.0543579;12.1090644
Massing;SENEC Home V3 hybrid -5.0 kWh;4.125;48.3950459;12.6145132
Unterensingen;SENEC Home V3 hybrid -2.5 kWh;3.75;48.6582827;9.3561166
Furth im Wald;SENEC Home V3 hybrid -5.0 kWh;3.75;49.3101132;12.8387951
Theisseil;SENEC Home V3 hybrid dou - 10 kWh;15;49.6901649;12.2269623
Stephansposching;SENEC Home V3 hybrid dou - 10 kWh;15;48.8166422;12.80241
Unterhaching;SENEC Home V3 hybrid dou - 5.0 kWh;7.125;48.0650187;11.6175944
Unterhaching;SENEC Home V3 hybrid -7.5 kWh;5.25;48.0650187;11.6175944
Rott am Inn;SENEC Home V3 hybrid dou - 10 kWh;29.625;47.9849048;12.1307325
München;SENEC Home V3 hybrid dou - 5.0 kWh;9;48.10993209999999;11.52627
Pliening;SENEC Home V3 hybrid dou - 10 kWh;30;48.1980575;11.7919377
Hofkirchen;SENEC Home V3 hybrid dou - 7.5 kWh;15.75;48.67710779999999;13.1207808
Ampfing;SENEC Home V3 hybrid -5.0 kWh;4.875;48.2582056;12.411694
Wernau;SENEC Home V3 hybrid dou - 5.0 kWh;7.125;48.6914602;9.417933999999999
Filderstadt;SENEC Home V3 hybrid dou - 7.5 kWh;8.25;48.6628873;9.209481799999999
Stuttgart;SENEC Home V3 hybrid dou - 10 kWh;12;48.7758013;9.2529132
Altdorf;SENEC Home V3 hybrid dou - 10 kWh;9.75;48.5945556;9.2734854
Kirchanschöring;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;47.9529523;12.834553
Römerstein;SENEC Home V3 hybrid dou - 5.0 kWh;6.75;48.4945876;9.5379487
Griesingen;SENEC Home V3 hybrid dou - 10 kWh;11.25;48.26589509999999;9.7804436
Remshalden;Fenecon 7.7kWh;9;48.8118534;9.432461
Schirmitz;SENEC Home V3 hybrid dou - 10 kWh;13.5;49.6501168;12.169505
Waldachtal;SENEC Home V3 hybrid -5.0 kWh;6.75;48.4904351;8.5709962
Chieming;SENEC Home V3 hybrid dou - 7.5 kWh;6.75;47.8948302;12.5369227
Zirndorf;SENEC Home V3 hybrid -5.0 kWh;4.5;49.4428638;10.9613504
Bad Tölz;SENEC Home V3 hybrid dou - 10 kWh;17.25;47.7614737;11.5651524
Leutenbach;SENEC Home V3 hybrid -2.5 kWh;3.75;48.8876656;9.3925583
Fürstenfeldbruck;SENEC Home V3 hybrid dou - 7.5 kWh;6.75;48.17870689999999;11.23683
Schopfloch;SENEC Home V3 hybrid -5.0 kWh;5.25;49.1204086;10.3054512
Schopfloch;SENEC Home V3 hybrid dou - 5.0 kWh;9.75;49.1204086;10.3054512
Niederwinkling;SENEC Home V3 hybrid dou - 5.0 kWh;6.375;48.8720648;12.7902505
Raubling;SENEC Home V3 hybrid dou - 5.0 kWh;7.5;47.7915891;12.075049
Haigerloch;SENEC Home V3 hybrid dou - 10 kWh;9.75;48.3715775;8.8114911
Kreßberg;SENEC Home V3 hybrid dou - 10 kWh;9.75;49.13075749999999;10.1843338
Wolfsegg;SENEC Home V3 hybrid dou - 7.5 kWh;9;49.1013557;12.0007019
Au in der Hallertau;SENEC Home V3 hybrid -2.5 kWh;4.5;48.5555434;11.7086836
Obertaufkirchen;SENEC Home V3 hybrid -5.0 kWh;5.25;48.2609347;12.2799026
Obernzenn;SENEC Home V3 hybrid dou - 7.5 kWh;9;49.4497965;10.4661952
Thalmassing;SENEC Home V3 hybrid dou - 5.0 kWh;7.5;48.8961307;12.1506961
Wendelstein;SENEC Home V3 hybrid dou - 7.5 kWh;7.5;49.3447047;11.1695549
Ihrlerstein;SENEC Home V3 hybrid dou - 5.0 kWh;6;48.9345588;11.8667835
Immendingen;SENEC Home V3 hybrid dou - 7.5 kWh;7.125;47.9375825;8.726819899999999
Wangen;SENEC Home V3 hybrid dou - 7.5 kWh;6.75;47.6894006;9.8206437
Altfrauenhofen;SENEC Home V3 hybrid dou - 7.5 kWh;7.875;48.4487019;12.1677931
Griesstätt;SENEC Home V3 hybrid dou - 10 kWh;10.5;47.9934054;12.179205
Plüderhausen;SENEC Home V3 hybrid dou - 5.0 kWh;6.75;48.79721019999999;9.6086365
Weil im Schönbuch;SENEC Home V3 hybrid -2.5 kWh;3.75;48.613717;9.0657204
Korental-Münchingen;SENEC Home V3 hybrid dou - 5.0 kWh;9.375;48.8491293;9.096806299999999
Neuhausen;SENEC Home V3 hybrid dou - 10 kWh;11.25;48.8042035;8.7624661
Stuttgart;SENEC Home V3 hybrid -2.5 kWh;4.5;48.8130331;9.1044082
Bad Wurzach;SENEC Home V3 hybrid dou - 10 kWh;16.5;47.912941;9.8860321
Prutting;SENEC Home V3 hybrid dou - 5.0 kWh;7.125;47.88473930000001;12.1879056
Kolbermoor;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;47.8393784;12.0494534
Rot an der Rot;SENEC Home V3 hybrid -2.5 kWh;4.5;47.992684;10.0031542
Bechhofen;SENEC Home V3 hybrid dou - 7.5 kWh;10.125;49.1763868;10.5664345
Hagnau;LG AKKU ESS 10kWh;10.125;47.6752771;9.3185259
Hagnau;LG AKKU ESS 10kWh;10.125;47.6752771;9.3185259
Winzer;SENEC Home V3 hybrid dou - 7.5 kWh;9.75;48.7236133;13.0763535
Kühnhardt;SENEC Home V3 hybrid dou - 10 kWh;20.625;49.1559821;10.254044
München;SENEC Home V3 hybrid dou - 5.0 kWh;6;48.1091485;11.6463656
Schliersee;SENEC Home V3 hybrid dou - 7.5 kWh;10.875;47.7349645;11.8625291
Langquaid;SENEC Home V3 hybrid -5.0 kWh;5.625;48.8226594;12.0514411
Waltenhofen;SENEC Home V3 hybrid -5.0 kWh;3;47.6505288;10.2616184
Vogt;SENEC Home V3 hybrid dou - 5.0 kWh;10.125;47.7760133;9.767499599999999
Ko-Münchingen;SENEC Home V3 hybrid dou - 10 kWh;6;48.8491293;9.096806299999999
Nordendorf;RCT POWER BATTERY DC 5.7;6;48.5950482;10.8326744
gerlingen;SENEC Home V3 hybrid dou - 5.0 kWh;6;48.7908056;9.0651574
Grafenau;SENEC Home V3 hybrid dou - 7.5 kWh;10.125;48.8468995;13.4080212
Kolbermoor;SENEC Home V3 hybrid -2.5 kWh;4.875;47.8393784;12.0494534
Wald;SENEC Home V3 hybrid dou - 10 kWh;10.125;49.1473063;12.348578
Neusitz;SENEC Home V3 hybrid dou - 10 kWh;12;49.3756464;10.2336475
Tübingen;SENEC Home V3 hybrid dou - 7.5 kWh;12.375;48.4936788;9.052605999999999
Holzkirchen;SENEC Home V3 hybrid -5.0 kWh;5.625;47.8720967;11.6886436
Winnenden;RCT POWER BATTERY DC 11.5;11.25;48.8750046;9.397142299999999
