name;speicher;leistung;lat;long
Grafenau;SENEC Home V3 hybrid Duo - 10,0 kW/h;11.47;48.843894;13.342316
Erding;RCT POWER BATTERY DC 9.6;10.36;48.310693;11.840718
Nersingen;RCT POWER BATTERY DC 5.7;9.99;48.421955;10.065063
Nördlingen;RCT POWER BATTERY DC 7.6;12.95;48.858554;10.440189
Plech;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.25;49.658522;11.437502
Erbach;RCT POWER BATTERY DC 5.7;6.66;48.317157;9.710618
Ammerbuch;Fenecon -5,1 kW/h;8.14;48.552545;8.889161
Germering;SENEC Home V3 hybrid -5,0 kWh;7.77;48.132147;11.289241
Gäufelden;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.99;48.535461;8.740092
Ostfildern;RCT POWER BATTERY DC 5.7;4.44;48.719465;9.191678
Lonsee;SMA Tirpower ;13.69;48.546213;9.830992
Pfofeld;SENEC Home V3 hybrid Duo - 10,0 kW/h;9.99;49.114053;10.796635
Perlesreuth;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.77;48.781666;13.373032
Ellwangen (Jagst);LG RESU 10 kW/h;19.98;48.964801;10.039072
Bad Liebenzell;SENEC Home V3 hybrid Duo - 10,0 kW/h;11.84;48.777456;8.588403
Markgönin;SENEC Home V3 hybrid Duo - 5,0 kW/h;6.29;48.916766;9.001013
Beilngries;SENEC Home V3 hybrid Duo - 5,0 kW/h;7.4;49.019574;11.350235
Mühlacker;SENEC Home V3 hybrid Duo - 5,0 kW/h;6.66;48.948544;8.778682
Hohenau;SENEC Home V3 hybrid Duo - 5,0 kW/h;6.66;48.861945;13.440531
Ölbronn-Dürm;SENEC Home V3 Hybrid Duo - 7,5 kW/h;7.03;48.968609;8.715399
Prutting;SMA Tirpower ;5.18;47.890226;12.118449
Hohenwarth;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.99;49.201208;12.902288
Unterschneidheim;SENEC Home V3 hybrid -2,5 kWh;4.07;48.931318;10.224123
Thurmansbang;SENEC Home V3 Hybrid Duo - 7,5 kW/h;9.38;48.775312;13.234619
Hutthurm;SENEC Home V3 hybrid Duo - 5,0 kW/h;9.92;48.688104;13.410583
